time_period,parse_lane_name(vehicle_lane),min(vehicle_CO2),max(vehicle_CO2),avg(vehicle_CO2),stddev(vehicle_CO2)
0.0,97846093,3924.28,5040.27,4486.610000000001,558.0455148999946
0.0,242137,0.0,3009.65,1357.5874999999999,1426.0320894331871
0.0,250921557,5245.83,5245.83,5245.83,
0.0,7785719852,0.0,0.0,0.0,
0.0,31767684,0.0,3166.1,1539.94546875,1216.416485552373
0.0,727447798,0.0,0.0,0.0,
1.0,250700085,0.0,33173.05,8149.530754716982,6899.773373264307
1.0,391433168,0.0,28484.09,5562.718440366973,6232.835010464247
1.0,1101347640,0.0,39485.93,3910.654007285979,4738.748195714516
1.0,353747121,0.0,15580.09,2226.398023255814,2488.345112083529
1.0,32015537,0.0,20866.0,3951.27231707317,4266.936789755171
1.0,23216841,0.0,38338.18,7347.835746268658,7316.664890496327
1.0,250699362,0.0,42556.98,7004.094128440367,7822.423474328549
1.0,234440706,0.0,31051.94,7568.225809523807,8335.10235071333
1.0,10976970,0.0,25411.98,5582.203090909092,6575.530425574715
1.0,1053964639,2624.72,8168.8,4918.665999999999,2103.762474277931
1.0,250921486,0.0,0.0,0.0,0.0
1.0,6356544246,0.0,30551.78,8078.090714285715,8260.274585954208
1.0,355613018,0.0,2942.34,1471.17,2080.5485665564265
1.0,2299673255,0.0,32745.35,8653.1575,16085.56436002661
0.0,cluster_2113408277_212986801_6281867407_6356544243_,0.0,17194.8,4655.61,4241.723009596453
0.0,10741757,0.0,15848.11,2225.6113513513483,2788.5665946839563
0.0,250711516,0.0,13101.67,4911.286923076923,3726.7931847263912
0.0,250700084,0.0,54593.64,7987.861379310345,10161.01451028139
0.0,2423075410,0.0,8674.87,4337.435,6134.0594029117465
0.0,43386253,12111.35,22071.85,15235.16142857143,3374.506197334303
0.0,359095747,0.0,31396.96,4905.526111111112,7716.3615837091775
0.0,32015189,0.0,32748.26,5706.185381355926,6582.026831660261
0.0,251136575,0.0,1981.75,660.5833333333334,1144.1638959665408
0.0,250691827,0.0,18204.85,6278.195000000001,5197.868088018225
0.0,760071200,0.0,10857.97,4476.165294117647,3476.347996396717
0.0,115333519,0.0,12136.81,3722.2316666666666,3419.924465288253
0.0,722762256,0.0,25396.6,4213.511612903225,5094.514440617763
0.0,32296802,0.0,10547.44,4640.59875,3868.110614489558
0.0,207979568,5843.98,29328.54,12407.058125,5664.084240092971
0.0,23182850,0.0,34948.53,20478.77,11325.34003542793
1.0,7214467394,0.0,33345.23,6573.604303030303,6825.156644837395
1.0,2296239316,3476.94,32852.49,14056.507391304349,9764.7881694206
1.0,297174816,0.0,27514.55,6393.760842105264,7588.645994150996
1.0,61072220,0.0,13962.06,3234.5995454545455,3705.3404115304606
1.0,260124785,0.0,51402.73,9992.768681318683,10978.32561298926
1.0,1303525313,0.0,20928.63,5256.593783783785,4096.469738192841
1.0,2287255820,0.0,19143.02,4288.1466666666665,6143.353269966335
1.0,251137584,2215.36,31832.95,17024.155,20942.79873140288
1.0,70794288,0.0,15306.98,3841.639375,5962.612369090659
1.0,790308479,0.0,7933.63,3066.756,4203.562274479825
0.0,760071189,0.0,25518.68,6979.826290322584,5210.31118147978
0.0,2287625898,3016.55,3016.55,3016.55,
0.0,243850918,0.0,36966.4,3143.3589361702125,7300.2455968166
0.0,250713506,0.0,26381.87,8592.96111111111,8775.852323266732
0.0,250920248,0.0,32250.8,8037.1759999999995,9025.12031744765
0.0,807999572,0.0,0.0,0.0,
0.0,250663733,0.0,40335.82,11218.2325,17168.432544912812
0.0,2696698093,0.0,4231.99,550.395,1345.1754211490918
0.0,1458642387,0.0,14166.01,5308.860000000001,6135.51860808848
0.0,250691566,0.0,21618.85,6605.545,6717.621622264407
0.0,650854044,31656.39,31656.39,31656.39,
0.0,251109739,3048.73,6189.08,4610.679999999999,1570.2396258214858
1.0,243527763,0.0,38002.54,3079.6042396535327,2583.6535950385614
1.0,972302159,0.0,38637.81,3550.7292493448435,2914.6390044725986
1.0,601303883,0.0,41054.18,3188.132740384669,2135.4566883900875
1.0,10741758,0.0,34563.69,9033.392882352939,8330.124197252415
1.0,32357772,0.0,41356.32,4132.599306095982,5150.580285710776
1.0,304829528,0.0,23333.48,4107.506170212767,4922.414746236609
1.0,359094540,0.0,51750.36,8607.549677419356,11881.863777227049
1.0,98303808,0.0,25272.35,4385.248888888889,8077.727071231801
1.0,360079224,0.0,26754.67,4561.456725888316,2807.660650153712
1.0,251136572,0.0,34108.87,12423.613333333335,18846.412950337086
