time_period,parse_lane_name(vehicle_lane),min(vehicle_HC),max(vehicle_HC),avg(vehicle_HC),stddev(vehicle_HC)
1.0,23199931,0.0,0.9,0.31499999999999995,0.3702926770362421
0.0,565056731,0.82,7.46,4.14,4.695189027078675
0.0,250699976,0.0,7.1,0.5615625000000001,1.4207445161459291
0.0,101356593,0.0,7.48,1.0981074168797955,2.0345785171081956
0.0,760071188,0.0,7.83,0.5938636363636364,1.844545971624896
0.0,52493741,0.0,13.14,2.037945823927766,3.34477157695943
0.0,250920320,0.0,9.78,2.5915555555555554,3.1848341149227113
0.0,449488830,0.0,5.59,4.258333333333334,2.106194831127137
0.0,749907669,0.0,7.25,1.2578260869565216,2.198577962977101
0.0,355613926,0.0,6.83,1.6962499999999998,2.950404028022506
0.0,250691695,0.0,7.03,0.8944444444444445,2.304409420606021
0.0,251109743,1.49,1.49,1.49,
0.0,80404724,0.0,3.55,0.5002890173410406,0.5651707168981289
0.0,23184213,0.0,0.99,0.2363207547169811,0.2789105522144471
0.0,2046110790,0.23,0.23,0.23,
0.0,912263020,0.0,0.17,0.05666666666666667,0.09814954576223639
0.0,251137584,0.0,0.0,0.0,0.0
1.0,250698924,0.0,8.88,1.9193000000000007,2.4038197220842927
1.0,704278582,0.0,9.09,1.1999999999999995,2.3437243865267092
1.0,294492611,0.0,6.37,0.8579166666666665,1.9273071530814285
1.0,250699982,0.0,8.61,0.961280487804878,2.0396968845803123
1.0,525503454,0.0,5.83,0.3542105263157895,0.974595221808874
1.0,634256870,0.0,9.75,2.0358525345622125,2.783604167861956
1.0,954712405,0.0,4.85,1.4176691729323303,1.54632305183406
1.0,250711641,0.0,6.54,1.1434375,2.0394110620075367
1.0,251134800,0.0,6.04,1.7062500000000003,2.385431602157444
1.0,6356544245,0.0,5.77,1.1542857142857141,2.051031099576155
1.0,251136507,0.0,7.51,1.502,3.358574102204684
1.0,98350950,0.0,7.1,1.0814285714285714,2.203561403079764
1.0,6558555850,0.81,7.03,4.5128571428571425,2.2060652323818104
1.0,388172055,0.0,0.08,0.035,0.04123105625617661
0.0,4461253788,0.0,5.75,0.8833333333333333,1.5357253598714782
0.0,23183960,0.0,7.98,1.1384827586206898,2.188721827356755
0.0,251136574,0.0,5.75,2.7455555555555557,2.4851011604716975
0.0,24220216,0.0,10.24,1.56155844155844,2.318906979921701
0.0,892605848,0.0,7.25,1.2035999999999998,2.286000656167885
0.0,2372547252,0.0,8.78,1.2928571428571427,3.303052700587313
0.0,660260256,0.0,0.87,0.6031578947368422,0.32678658736889815
0.0,702079447,0.0,4.85,1.6675000000000002,2.2005966932747154
0.0,250699930,0.25,0.46,0.355,0.14849242404917498
1.0,704293239,0.0,11.93,1.4541710875331504,2.1511430679783623
1.0,189099793,0.0,7.66,1.235760000000001,1.5604960487731052
1.0,48656171,0.0,8.5,1.555004128819122,1.763097637055678
1.0,360079222,0.0,14.19,3.5848623853211006,4.849020637024992
1.0,97788594,0.0,9.38,1.61929292929293,2.2221162245385946
1.0,363391923,0.11,10.16,4.396428571428571,4.363491204815875
1.0,908588305,0.0,0.81,0.55625,0.34784797582523647
1.0,251144050,0.0,6.94,2.516666666666667,3.842841830381955
1.0,844168561,0.0,8.68,1.5200000000000005,2.2243763170830606
1.0,250920800,0.68,7.87,5.3133333333333335,4.01975538227556
1.0,1460308250,0.0,0.09,0.03,0.05196152422706632
0.0,300402698,0.0,0.59,0.10666666666666667,0.2234043952332268
0.0,697038487,0.0,14.01,1.8048046874999994,3.2599512748881088
0.0,954712428,0.0,5.79,0.9659090909090907,1.7907876933825972
0.0,250706414,0.0,6.69,1.4555555555555557,2.6612878043867747
0.0,392821763,0.0,0.81,0.577777777777778,0.34412126415617567
0.0,651939716,0.0,0.75,0.375,0.5303300858899106
0.0,250691582,0.0,0.0,0.0,
0.0,353750576,0.0,0.0,0.0,
1.0,6217316407,0.0,8.32,1.9194428969359327,2.473647527640887
1.0,660260258,0.0,8.57,2.356778846153848,2.4949852524197205
1.0,359094098,0.0,7.58,2.1132,2.8155264753387304
1.0,250691379,0.0,7.36,2.1639285714285714,2.7190539467026698
1.0,1102900327,0.0,7.05,1.6961320754716982,2.518613969080431
1.0,251110825,0.0,6.69,2.6811111111111106,2.644821552723668
1.0,749190996,0.0,0.34,0.142,0.14492362520602756
1.0,250663831,0.0,8.93,2.2866666666666666,3.5215919019400195
1.0,634256859,0.0,9.26,2.8537500000000002,3.354312590464022
1.0,98350927,0.0,5.83,0.8943859649122807,1.2697947212385208
1.0,908116072,0.0,0.65,0.3001388888888889,0.2960752333756851
0.0,51043097,0.0,0.86,0.6382352941176469,0.26168290195668226
0.0,359094862,0.0,11.8,1.8278723404255313,3.3898293763462575
0.0,251145102,0.0,8.54,4.378,4.01855322224305
0.0,599115094,0.58,11.91,3.6622222222222223,3.8230593778459614
0.0,336340433,0.0,0.84,0.45499999999999996,0.3440041989407817
0.0,48656170,0.0,1.04,0.4076470588235295,0.37627332837587474
0.0,250710948,0.0,0.71,0.3085714285714286,0.28719497276406564
0.0,355612724,0.61,6.54,2.227,2.3968592875770667
0.0,4333980577,0.0,5.64,0.8585714285714285,2.1129160621554006
0.0,881725977,0.59,1.63,1.0025,0.3302704519459339
1.0,31621142,0.0,5.37,1.240581395348837,1.9333614616673316
1.0,167920360,0.0,9.55,1.6048398576512453,2.671446249421566
1.0,1055910703,0.0,6.21,1.8425,2.7031449937328293
1.0,251134804,0.0,6.28,1.54,2.3704279300220397
1.0,51249356,0.0,8.34,3.491176470588235,3.1911261381229927
1.0,250712199,0.0,13.97,2.481612903225806,3.55637250773098
1.0,1137831858,0.0,7.98,2.882727272727273,2.904541584860134
1.0,97834761,0.0,7.99,2.8019999999999996,2.9965627566314006
1.0,305143975,0.0,6.82,1.185,2.7622870958682046
1.0,402402481,0.0,8.17,1.5512820512820515,2.504603319245311
0.0,651185403,0.0,6.03,0.7779816513761467,1.6146050886370955
0.0,359094045,0.0,5.42,0.5638461538461538,1.0239737164330447
0.0,219362018,0.0,8.86,1.2833333333333334,2.2945252678104158
0.0,9769867768,0.0,1.52,0.9239999999999998,0.6645900992341068
0.0,250712510,0.0,5.98,0.6433333333333333,1.3617678820951398
0.0,688786344,0.0,6.83,1.020652173913044,1.4514795549888826
0.0,52493502,0.0,0.81,0.1580952380952381,0.2873781315204595
0.0,31616991,0.0,8.93,1.2008333333333332,2.3740741579286504
0.0,250699612,0.0,7.64,2.131486486486486,2.761482965916639
