timestep_time;vehicle_CO;vehicle_CO2;vehicle_HC;vehicle_NOx;vehicle_PMx;vehicle_angle;vehicle_eclass;vehicle_electricity;vehicle_fuel;vehicle_id;vehicle_lane;vehicle_noise;vehicle_pos;vehicle_route;vehicle_speed;vehicle_type;vehicle_waiting;vehicle_x;vehicle_y
7.00;418.63;9318.87;1.83;1.92;0.62;11.35;HBEFA3/LDV_G_EU6;0.00;2972.70;motorcycle1;10976420#1_0;82.07;7.75;!motorcycle1!var#1;5.45;motorcycle_motorcycle;0.00;23.723953;37.988477
7.00;113.34;3841.98;0.61;1.65;0.07;140.77;HBEFA3/PC_G_EU4;0.00;1225.44;veh0;:97839381_4_0;63.72;3.23;!veh0!var#1;4.89;veh_passenger;0.00;23.722791;37.988558
7.00;0.00;0.00;0.00;0.00;0.00;246.89;HBEFA3/PC_G_EU4;0.00;0.00;veh1;170644473_1;62.91;154.06;!veh1!var#1;15.55;veh_passenger;0.00;23.748247;37.974903
7.00;151.14;3986.94;0.78;1.78;0.09;57.03;HBEFA3/PC_G_EU4;0.00;1271.68;veh10;23182833#1_0;67.94;7.61;!veh10!var#1;2.51;veh_passenger;0.00;23.737122;37.977478
7.00;164.78;2624.72;0.81;1.20;0.07;114.99;HBEFA3/PC_G_EU4;0.00;837.22;veh11;909208929_0;55.94;5.10;!veh11!var#1;0.00;veh_passenger;0.00;23.727323;37.974975
7.00;164.78;2624.72;0.81;1.20;0.07;148.93;HBEFA3/PC_G_EU4;0.00;837.22;veh12;-48820562#4_0;55.94;5.10;!veh12!var#1;0.00;veh_passenger;0.00;23.724808;37.989149
7.00;107.73;6156.51;0.64;2.62;0.12;76.85;HBEFA3/PC_G_EU4;0.00;1963.64;veh2;61072226#0_0;67.39;34.59;!veh2!var#1;9.45;veh_passenger;0.00;23.737342;37.988950
7.00;152.39;9285.44;0.92;4.04;0.20;189.39;HBEFA3/PC_G_EU4;0.00;2961.60;veh3;260124785#3_1;71.31;40.16;!veh3!var#1;11.69;veh_passenger;0.00;23.730386;37.988235
7.00;149.25;7519.69;0.86;3.29;0.16;291.88;HBEFA3/PC_G_EU4;0.00;2398.42;veh4;:650854042_4_0;70.58;6.00;!veh4!var#1;8.15;veh_passenger;0.00;23.711872;37.972020
7.00;0.00;0.00;0.00;0.00;0.00;5.21;HBEFA3/PC_G_EU4;0.00;0.00;veh5;-660260255#1_0;68.29;3.16;!veh5!var#1;22.89;veh_passenger;0.00;23.747747;37.972513
7.00;136.45;5722.09;0.76;2.50;0.12;77.10;HBEFA3/PC_G_EU4;0.00;1825.09;veh6;50033135#1_0;68.40;16.32;!veh6!var#1;6.09;veh_passenger;0.00;23.736570;37.989829
7.00;0.00;0.00;0.00;0.00;0.00;291.65;HBEFA3/PC_G_EU4;0.00;0.00;veh7;1033862865#0_0;50.34;25.42;!veh7!var#1;3.94;veh_passenger;0.00;23.712032;37.971965
7.00;10.41;3222.01;0.12;1.11;0.03;189.34;HBEFA3/PC_G_EU4;0.00;1027.68;veh8;669874507_0;65.33;33.24;!veh8!var#1;14.19;veh_passenger;0.00;23.727679;37.990898
7.00;0.00;2271.60;0.00;0.48;0.01;191.35;HBEFA3/PC_G_EU4;0.00;724.55;veh9;668697837#0_0;69.34;27.04;!veh9!var#1;21.94;veh_passenger;0.00;23.748025;37.989877
8.00;32.66;19056.86;6.62;152.12;3.45;328.92;HBEFA3/Bus;0.00;6030.01;bus0;44463548_0;74.85;43.05;!bus0!var#1;6.99;bus_bus;0.00;23.718746;37.986211
8.00;26.06;12128.90;5.73;105.51;2.70;55.66;HBEFA3/Bus;0.00;3837.19;bus1;741245822#0_0;72.36;12.05;!bus1!var#1;4.13;bus_bus;0.00;23.737206;37.982999
8.00;20.17;5286.11;4.85;60.75;2.01;126.34;HBEFA3/Bus;0.00;1671.11;bus2;734712582#2_0;67.11;5.14;!bus2!var#1;0.00;bus_bus;3.00;23.713364;37.977221
8.00;22.37;13065.76;5.80;102.68;2.44;115.38;HBEFA3/Bus;0.00;4135.29;bus3;23217626#0_0;75.61;25.98;!bus3!var#1;13.88;bus_bus;0.00;23.709602;37.982432
8.00;0.00;0.00;0.00;0.00;0.00;239.25;HBEFA3/LDV_G_EU6;0.00;0.00;motorcycle0;48651788#0_0;61.32;92.13;!motorcycle0!var#1;12.26;motorcycle_motorcycle;0.00;23.713877;37.989428
8.00;347.53;8916.12;1.56;1.86;0.54;11.36;HBEFA3/LDV_G_EU6;0.00;2844.21;motorcycle1;10976420#1_0;73.33;16.35;!motorcycle1!var#1;8.60;motorcycle_motorcycle;0.00;23.723975;37.988552
8.00;92.68;3368.66;0.50;1.40;0.06;102.42;HBEFA3/PC_G_EU4;0.00;1074.47;veh0;11031664#3_0;62.10;3.96;!veh0!var#1;5.72;veh_passenger;0.00;23.722854;37.988545
