timestep_time,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y
88.0,0.0,1605.83,0.0,0.36,0.0,61.61,HBEFA3/PC_G_EU4,0.0,512.2,veh102,:262233430_0_2,64.09,0.45,!veh102!var#1,13.85,veh_passenger,0.0,23.727367,37.983789
88.0,164.73,2624.44,0.81,1.2,0.07,280.14,HBEFA3/PC_G_EU4,0.0,837.13,veh126,23184691#0_0,55.93,43.9,!veh126!var#1,0.0,veh_passenger,3.0,23.72693,37.984338
89.0,137.29,9749.13,0.86,4.16,0.2,78.26,HBEFA3/PC_G_EU4,0.0,3109.48,veh102,725187180_2,71.1,15.29,!veh102!var#1,15.62,veh_passenger,0.0,23.727549,37.983825
89.0,164.77,2624.66,0.81,1.2,0.07,280.14,HBEFA3/PC_G_EU4,0.0,837.2,veh126,23184691#0_0,55.93,43.9,!veh126!var#1,0.0,veh_passenger,4.0,23.72693,37.984338
90.0,209.44,13664.9,1.29,5.95,0.31,98.56,HBEFA3/PC_G_EU4,0.0,4358.41,veh102,725187180_2,74.35,33.24,!veh102!var#1,17.94,veh_passenger,0.0,23.727758,37.983799
90.0,164.77,2624.69,0.81,1.2,0.07,280.14,HBEFA3/PC_G_EU4,0.0,837.21,veh126,23184691#0_0,55.94,43.9,!veh126!var#1,0.0,veh_passenger,5.0,23.72693,37.984338
91.0,139.7,10424.18,0.89,4.39,0.22,98.56,HBEFA3/PC_G_EU4,0.0,3324.79,veh102,:6724001742_4_2,71.96,14.86,!veh102!var#1,19.4,veh_passenger,0.0,23.727977,37.983768
91.0,164.77,2624.7,0.81,1.2,0.07,280.14,HBEFA3/PC_G_EU4,0.0,837.22,veh126,23184691#0_0,55.94,43.9,!veh126!var#1,0.0,veh_passenger,6.0,23.72693,37.984338
92.0,156.0,11276.48,0.99,4.75,0.25,100.27,HBEFA3/PC_G_EU4,0.0,3596.63,veh102,298298663#0_2,72.74,18.12,!veh102!var#1,20.86,veh_passenger,0.0,23.728219,37.98373
92.0,164.78,2624.72,0.81,1.2,0.07,280.14,HBEFA3/PC_G_EU4,0.0,837.22,veh126,23184691#0_0,55.94,43.9,!veh126!var#1,0.0,veh_passenger,7.0,23.72693,37.984338
92.0,130.93,5446.62,0.73,2.37,0.11,189.15,HBEFA3/PC_G_EU4,0.0,1737.23,veh49,168737311#3_0,67.66,0.19,!veh49!var#1,6.07,veh_passenger,0.0,23.729634,37.985336
93.0,283.75,17405.43,1.72,7.59,0.41,105.21,HBEFA3/PC_G_EU4,0.0,5551.44,veh102,298298663#0_2,76.67,41.23,!veh102!var#1,23.11,veh_passenger,0.0,23.728486,37.98368
93.0,147.51,3316.2,0.75,1.48,0.07,280.15,HBEFA3/PC_G_EU4,0.0,1057.76,veh126,:250720871_3_0,64.86,0.86,!veh126!var#1,1.86,veh_passenger,0.0,23.72691,37.984342
93.0,131.51,6697.01,0.76,2.9,0.14,189.18,HBEFA3/PC_G_EU4,0.0,2136.03,veh49,168737311#3_0,68.88,8.41,!veh49!var#1,8.22,veh_passenger,0.0,23.729616,37.985263
94.0,220.2,14147.03,1.35,6.02,0.33,145.65,HBEFA3/PC_G_EU4,0.0,4512.19,veh102,23182962_2,74.96,11.46,!veh102!var#1,24.66,veh_passenger,0.0,23.728686,37.983524
94.0,129.54,3538.89,0.67,1.54,0.07,280.2,HBEFA3/PC_G_EU4,0.0,1128.78,veh126,:250720871_3_0,63.66,4.18,!veh126!var#1,3.32,veh_passenger,0.0,23.726873,37.984348
94.0,139.17,8128.29,0.83,3.52,0.17,189.18,HBEFA3/PC_G_EU4,0.0,2592.53,veh49,168737311#3_0,70.18,18.84,!veh49!var#1,10.43,veh_passenger,0.0,23.729594,37.985171
95.0,351.37,20109.25,2.1,8.78,0.49,145.65,HBEFA3/PC_G_EU4,0.0,6413.82,veh102,23182962_2,78.25,38.31,!veh102!var#1,26.85,veh_passenger,0.0,23.728851,37.98332
95.0,127.62,4749.09,0.69,2.06,0.1,280.21,HBEFA3/PC_G_EU4,0.0,1514.76,veh126,:250720871_3_0,66.44,9.4,!veh126!var#1,5.22,veh_passenger,0.0,23.726814,37.984358
95.0,95.27,6572.87,0.59,2.75,0.13,189.18,HBEFA3/PC_G_EU4,0.0,2096.43,veh49,168737311#3_0,67.75,30.69,!veh49!var#1,11.85,veh_passenger,0.0,23.729568,37.985066
96.0,0.0,0.0,0.0,0.0,0.0,144.79,HBEFA3/PC_G_EU4,0.0,0.0,veh102,:363357735_0_2,70.9,14.04,!veh102!var#1,26.0,veh_passenger,0.0,23.729012,37.983124
96.0,105.37,4536.95,0.59,1.93,0.09,280.21,HBEFA3/PC_G_EU4,0.0,1447.09,veh126,741087752_0,64.97,1.49,!veh126!var#1,6.63,veh_passenger,0.0,23.726741,37.98437
96.0,142.68,9549.03,0.88,4.11,0.2,189.15,HBEFA3/PC_G_EU4,0.0,3045.66,veh49,168737311#3_0,71.04,44.54,!veh49!var#1,13.85,veh_passenger,0.0,23.729539,37.984944
97.0,0.0,0.0,0.0,0.0,0.0,144.92,HBEFA3/PC_G_EU4,0.0,0.0,veh102,:250700142_2_2,67.34,5.03,!veh102!var#1,21.5,veh_passenger,0.0,23.729147,37.982963
97.0,121.59,6385.59,0.71,2.75,0.13,280.19,HBEFA3/PC_G_EU4,0.0,2036.71,veh126,741087752_0,68.1,10.04,!veh126!var#1,8.55,veh_passenger,0.0,23.726645,37.984386
97.0,155.94,10699.95,0.97,4.6,0.23,189.16,HBEFA3/PC_G_EU4,0.0,3412.75,veh49,168737311#3_0,71.97,60.37,!veh49!var#1,15.83,veh_passenger,0.0,23.729505,37.984804
98.0,0.0,0.0,0.0,0.0,0.0,145.82,HBEFA3/PC_G_EU4,0.0,0.0,veh102,207971475#0_2,64.11,9.85,!veh102!var#1,17.0,veh_passenger,0.0,23.729252,37.982834
98.0,147.69,8732.39,0.88,3.8,0.18,280.19,HBEFA3/PC_G_EU4,0.0,2785.2,veh126,741087752_0,70.88,20.92,!veh126!var#1,10.88,veh_passenger,0.0,23.726524,37.984406
98.0,211.53,13791.76,1.3,6.0,0.31,189.16,HBEFA3/PC_G_EU4,0.0,4398.87,veh49,168737311#3_0,74.43,78.51,!veh49!var#1,18.14,veh_passenger,0.0,23.729466,37.984643
99.0,0.0,0.0,0.0,0.0,0.0,145.82,HBEFA3/PC_G_EU4,0.0,0.0,veh102,207971475#0_2,59.97,22.34,!veh102!var#1,12.5,veh_passenger,0.0,23.729329,37.982739
99.0,153.56,9842.41,0.94,4.26,0.21,280.19,HBEFA3/PC_G_EU4,0.0,3139.24,veh126,741087752_0,71.53,34.01,!veh126!var#1,13.1,veh_passenger,0.0,23.726379,37.98443
99.0,224.52,14591.48,1.38,6.33,0.33,189.17,HBEFA3/PC_G_EU4,0.0,4653.94,veh49,168737311#3_0,74.88,98.8,!veh49!var#1,20.29,veh_passenger,0.0,23.729422,37.984464
100.0,0.0,0.0,0.0,0.0,0.0,145.82,HBEFA3/PC_G_EU4,0.0,0.0,veh102,207971475#0_2,54.3,30.4,!veh102!var#1,8.06,veh_passenger,0.0,23.729378,37.982678
100.0,103.09,7817.71,0.66,3.27,0.15,280.19,HBEFA3/PC_G_EU4,0.0,2493.46,veh126,741087752_0,69.26,48.54,!veh126!var#1,14.53,veh_passenger,0.0,23.726217,37.984457
100.0,0.0,0.0,0.0,0.0,0.0,189.16,HBEFA3/PC_G_EU4,0.0,0.0,veh49,168737311#3_0,65.51,117.11,!veh49!var#1,18.31,veh_passenger,0.0,23.729383,37.984302
